,lipstick_name,Rate
0,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹419
1,Renee Check Matte Liquid Lip Color - Castle of Nude,₹299
2,lipsip BEAUTY Set of 12 Liquid Lipsticks Matte Finish L...,₹281
3,Just Herbs Ayurvedic Lipstick Micro-Mini Trial Kit 38gm,₹371
4,Sh.Huda 12 pc set Liquid matte lipstick,₹319
5,THE NYN Insta Beauty Super Stay Water Proof Sensational...,₹138
6,Lakmé Enrich Matte Lipstick,₹191
7,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹419
8,MARS Matte Liquid Lipstick Smudge Proof,₹259
9,MARS 16 Color Ultra Pigmented Infinity Matte Lip Color ...,₹219
10,"Renee Fab 5 (5 in 1 Lipstick), 7.5g",₹569
11,Renee Check Matte Liquid Lip Color - Tower of Wine,₹299
12,Lakmé Forever Matte Liquid Lip Colour -,₹200
13,RONZILLE Mini Bullet Lipstick Set of 12 Shade A,₹149
14,SKINPLUS Super stay matte ink bold lip color liquid lip...,₹305
15,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹419
16,THE NYN Fab Beauty 5 in 1 Forever Enrich Matte Lipstick...,₹145
17,RONZILLE Pocket Matte Lipstick set of 10 pc,₹199
18,SWISS BEAUTY Non_Transfer Matte Lipstick (SB-209-15),₹112
19,Renee Stay With Me Non Transfer Matte Liquid Lip Color ...,₹419
20,GWENLOOK Matte Minis Red Edition Liquid Lipstick,₹133
21,Lakmé 9TO5 Primer + Matte Lip Color,₹346
22,teayason Velver Matte 5 in 1 Fabulous Lipsticks 5in1,₹108
23,SSworld LIQUID MATTE LIPSTICK,₹139
24,teayason Red Edition Liquid Matte Lipsticks,₹147
25,Renee Fab 10 Combo,₹999
26,Lakmé Cushion Matte Lipstick,₹275
27,Alaia 36h Creamy Matte Pro Lipstick,₹839
28,Lakmé 9TO5 Primer + Matte Lip Color Red Twist,₹366
29,SWISS BEAUTY 12Hrs. Stay Matte Crayon Lipstick (SB-S18-...,₹165
30,SWISS BEAUTY Non_Transfer Matte Lipstick (SB-209-02),₹112
31,Seven Seas Ultra Matte Liquid Lipstick Combo Pack,₹369
32,SWISS BEAUTY 12Hrs. Stay Matte Crayon Lipstick (SB-S18-...,₹181
33,MAYBELLINE NEW YORK Color Sensational Creamy Matte,₹198
34,teayason Nude Edition Sensational Liquid Matte Lipstick...,₹136
35,Seven Seas Ultra Matte Liquid Lipstick Matter Red,₹125
36,"Renee Fab 5 Nude (5 in 1 Lipstick),",₹569
37,RONZILLE Fab 5 Step Lipstick 5 in 1 new stylish Lipstic...,₹125
38,MAYBELLINE NEW YORK Sensational Liquid Matte Minis 4 sh...,₹265
39,Renee Check Matte Liquid Lip Color - Rise of Red,₹299
